id,team_id,team_name,type,facility_name,address,city,state_province,postal,country,address_concat,lat,lon
WSH_arena,WSH,Washington Capitals,arena,Capital One Arena,601 F St NW,Washington,DC,20004,USA,"601 F St NW, Washington, DC 20004 USA",,
SEA_arena,SEA,Seattle Kraken,arena,Climate Pledge Arena,334 1st Ave N,Seattle,WA,98109,USA,"334 1st Ave N, Seattle, WA 98109 USA",,
VAN_arena,VAN,Vancouver Canucks,arena,Rogers Arena,800 Griffiths Way,Vancouver,BC,V6B 6G1,Canada,"800 Griffiths Way, Vancouver, BC V6B 6G1 Canada",,
COL_arena,COL,Colorado Avalanche,arena,Ball Arena,1000 Chopper Cir,Denver,CO,80204,USA,"1000 Chopper Cir, Denver, CO 80204 USA",,
DAL_arena,DAL,Dallas Stars,arena,American Airlines Center,2500 Victory Ave,Dallas,TX,75219,USA,"2500 Victory Ave, Dallas, TX 75219 USA",,
SJS_arena,SJS,San Jose Sharks,arena,SAP Center,525 W Santa Clara St,San Jose,CA,95113,USA,"525 W Santa Clara St, San Jose, CA 95113 USA",,
MIN_arena,MIN,Minnesota Wild,arena,Grand Casino Arena,199 W Kellogg Blvd,St Paul,MN,55102,USA,"199 W Kellogg Blvd, St Paul, MN 55102 USA",,
MTL_arena,MTL,Montreal Canadiens,arena,Bell Centre,1909 Av. des Canadiens-de-Montréal,Montreal,QC,H3B 2S2,Canada,"1909 Av. des Canadiens-de-Montréal, Montreal, QC H3B 2S2 Canada",,
TOR_arena,TOR,Toronto Maple Leafs,arena,Scotiabank Arena,40 Bay Street,Toronto,ON,M5J 2X2,Canada,"40 Bay Street, Toronto, ON M5J 2X2 Canada",,
NJD_arena,NJD,New Jersey Devils,arena,Prudential Center,25 Lafayette St,Newark,NJ,07102,USA,"25 Lafayette St, Newark, NJ 07102 USA",,
PHL_arena,PHL,Philadelphia Flyers,arena,Xfinity Mobile Arena,3601 S Broad St,Philadelphia,PA,19148,USA,"3601 S Broad St, Philadelphia, PA 19148 USA",,
OTT_arena,OTT,Ottawa Senators,arena,Canadian Tire Centre,1000 Palladium Dr,Kanata,ON,K2V 1A4,Canada,"1000 Palladium Dr, Kanata, ON K2V 1A4 Canada",,
CGY_arena,CGY,Calgary Flames,arena,Scotiabank Saddledome,"555 Saddledome Rise SE,",Calgary,AB,T2G 2W1,Canada,"555 Saddledome Rise SE,, Calgary, AB T2G 2W1 Canada",,
EDM_arena,EDM,Edmonton Oilers,arena,Rogers Place,10220 104 Ave NW,Edmonton,AB,T5J 0H6,Canada,"10220 104 Ave NW, Edmonton, AB T5J 0H6 Canada",,
NSH_arena,NSH,Nashville Predators,arena,Bridgestone Arena,501 Broadway,Nashville,TN,37203,USA,"501 Broadway, Nashville, TN 37203 USA",,
NYI_arena,NYI,New York Islanders,arena,UBS Arena,2400 Hempstead Turnpike,Elmont,NY,11003,USA,"2400 Hempstead Turnpike, Elmont, NY 11003 USA",,
NYR_arena,NYR,New York Rangers,arena,Madison Square Garden,4 Pennsylvania Plaza,New York,NY,10001,USA,"4 Pennsylvania Plaza, New York, NY 10001 USA",,
WPG_arena,WPG,Winnipeg Jets,arena,Canada Life Centre,300 Portage Ave,Winnipeg,MB,R3C 5S4,Canada,"300 Portage Ave, Winnipeg, MB R3C 5S4 Canada",,
CAR_arena,CAR,Carolina Hurricanes,arena,Lenovo Center,1400 Edwards Mill Rd,Raleigh,NC,27607,USA,"1400 Edwards Mill Rd, Raleigh, NC 27607 USA",,
CBJ_arena,CBJ,Columbus Blue Jackets,arena,Nationwide Arena,200 W Nationwide Blvd,Columbus,OH,43215,USA,"200 W Nationwide Blvd, Columbus, OH 43215 USA",,
BUF_arena,BUF,Buffalo Sabres,arena,KeyBank Center,1 Seymour H Knox III Plaza,Buffalo,NY,14203,USA,"1 Seymour H Knox III Plaza, Buffalo, NY 14203 USA",,
FLA_arena,FLA,Florida Panthers,arena,Amerant Bank Arena,1 Panther Way,Sunrise,FL,33323,USA,"1 Panther Way, Sunrise, FL 33323 USA",,
TBL_arena,TBL,Tampa Bay Lightning,arena,Benchmark International Arena,401 Channelside Dr,Tampa,FL,33602,USA,"401 Channelside Dr, Tampa, FL 33602 USA",,
STL_arena,STL,St Louis Blues,arena,Enterprise Center,1401 Clark Ave,St Louis,MO,63103,USA,"1401 Clark Ave, St Louis, MO 63103 USA",,
PIT_arena,PIT,Pittsburgh Penguins,arena,PPG Paints Arena,1001 Fifth Ave,Pittsburgh,PA,15219,USA,"1001 Fifth Ave, Pittsburgh, PA 15219 USA",,
UTA_arena,UTA,Utah Mammoth,arena,Delta Center,301 S Temple,Salt Lake City,UT,84101,USA,"301 S Temple, Salt Lake City, UT 84101 USA",,
LAK_arena,LAK,Los Angeles Kings,arena,Crypto.com arena,1111 S Figueroa St,Los Angeles,CA,90015,USA,"1111 S Figueroa St, Los Angeles, CA 90015 USA",,
BOS_arena,BOS,Boston Bruins,arena,TD Garden,100 Legends Way,Boston,MA,02114,USA,"100 Legends Way, Boston, MA 02114 USA",,
ANA_arena,ANA,Anaheim Ducks,arena,Honda Center,2695 E Katella Ave,Anaheim,CA,92806,USA,"2695 E Katella Ave, Anaheim, CA 92806 USA",,
VGK_arena,VGK,Vegas Golden Knights,arena,T-Mobile Arena,3780 S Las Vegas Blvd,Las Vegas,NV,89109,USA,"3780 S Las Vegas Blvd, Las Vegas, NV 89109 USA",,
CHI_arena,CHI,Chicago Blackhawks,arena,United Center,1901 W Madison St,Chicago,IL,60612,USA,"1901 W Madison St, Chicago, IL 60612 USA",,
DET_arena,DET,Detroit Red Wings,arena,Little Caesars Place,2645 Woodward Ave,Detroit,MI,48201,USA,"2645 Woodward Ave, Detroit, MI 48201 USA",,